data,test,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25
map3,19,208.77,208.77,208.77,208.77,208.77,208.77,208.77,208.77,208.77,208.77,208.196,208.196,199.108,199.108,194.689,194.689,173.87,173.87,173.87,173.87,173.87,173.87,173.87,169.997,163.364
map4,0,198.442,198.442,198.442,198.442,198.442,198.442,183.101,178.29,178.29,178.29,174.948,174.948,174.948,170.253,169.271,169.271,165.833,161.276,161.276,161.276,161.276,161.276,152.59,152.59,152.59
map4,1,338.762,338.762,286.56,286.56,286.56,286.56,272.543,212.87,212.87,212.87,202.77,202.77,201.072,194.215,186.824,186.824,180.475,164.973,164.973,164.973,164.973,164.973,164.973,164.973,164.973
map4,2,345.39,204.157,204.157,204.157,185.78,185.78,185.78,185.78,185.78,184.069,183.719,163.03,163.03,151.714,151.714,151.714,151.714,146.103,143.822,143.822,143.822,143.822,143.822,143.822,143.822
map4,3,169.226,169.226,169.226,169.226,169.226,169.226,169.226,169.226,169.226,169.226,169.226,169.226,169.226,169.226,167.716,167.716,167.495,167.495,162.607,162.607,162.607,160.741,160.741,160.741,160.741
map4,4,465.082,465.082,255.845,255.845,255.845,255.845,241.79,241.79,216.964,216.174,213.791,213.791,186.773,186.773,186.773,186.773,186.773,186.643,186.643,186.643,151.029,151.029,151.029,151.029,151.029
map4,5,349.787,349.787,237.332,237.332,237.332,237.332,206.504,206.504,206.504,191.689,191.689,191.689,186.498,186.498,182.093,173.008,173.008,156.428,156.428,156.428,156.428,155.381,155.381,155.381,155.381
map4,6,408.119,408.119,320.607,251.496,251.496,251.496,251.496,251.496,218.734,218.734,218.734,207.34,207.34,201.859,201.859,201.859,189.894,189.894,175.75,175.75,175.75,175.75,175.75,175.75,175.75
map4,7,330.857,218.937,218.937,218.937,218.937,218.937,212.299,186.457,186.457,186.457,180.997,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2
map4,8,248.209,246.24,246.24,230.203,230.203,172.558,172.558,172.558,172.558,172.558,172.558,172.558,172.558,172.558,169.81,169.81,169.81,169.81,162.852,162.852,162.852,162.852,162.852,156.402,156.402
map4,9,264.639,264.639,264.639,209.837,209.837,209.837,209.837,172.422,172.422,171.955,171.955,169.028,169.028,169.028,169.028,153.947,153.947,153.947,153.947,153.947,153.947,153.947,153.947,151.686,151.686
map4,10,323.472,323.472,294.064,190.564,190.564,190.564,190.564,182.642,182.642,182.642,182.642,182.642,174.904,174.904,174.904,168.947,165.965,165.965,165.965,157.454,157.454,157.454,157.454,157.454,157.454
map4,11,201.712,187.359,187.359,187.359,187.359,187.359,187.359,187.359,187.359,187.359,187.359,152.426,152.426,145.733,145.733,145.733,137.385,137.385,137.385,137.385,137.385,137.385,137.385,137.385,137.385
map4,12,362.572,362.572,302.54,234.04,234.04,234.04,234.04,234.04,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331,136.331
map4,13,336.308,332.977,308.275,308.275,197.11,197.11,197.11,197.11,197.11,197.11,180.902,180.902,180.902,180.902,180.902,180.902,180.902,180.902,180.902,180.902,180.902,180.902,180.902,177.077,177.077
map4,14,253.991,253.991,253.991,253.991,253.991,253.991,253.991,253.991,253.991,218.779,214.113,208.001,185.002,185.002,185.002,185.002,185.002,185.002,185.002,185.002,180.36,180.36,180.36,180.36,180.36
map4,15,216.887,179.069,179.069,179.069,179.069,179.069,176.734,176.734,171.554,171.554,171.554,171.554,157.726,157.726,157.726,157.726,157.726,155.438,155.438,155.438,155.438,150.251,149.164,142.871,142.871
map4,16,404.336,404.336,404.336,329.336,329.336,329.336,297.063,190.325,190.325,190.325,190.325,190.325,190.325,190.325,190.325,190.325,190.325,177.937,177.937,177.937,177.937,177.937,170.492,170.492,170.492
map4,17,206.199,206.199,206.199,200.322,198.419,198.419,198.419,182.949,182.949,160.874,160.874,160.874,160.874,160.874,160.874,160.874,160.874,157.136,148.493,148.493,148.493,148.37,148.37,148.37,148.37
map4,18,221.776,221.776,221.776,213.285,185.186,185.186,184.127,174.127,174.127,173.787,173.787,169.486,159.283,159.283,159.283,159.283,159.283,159.283,148.911,148.911,148.911,148.911,148.911,148.911,146.652
map4,19,255.46,255.46,255.46,255.46,252.88,193.833,158.816,158.816,158.816,158.816,158.816,158.816,158.816,158.816,158.816,153.411,153.411,153.411,153.411,153.411,153.411,138.125,138.125,138.125,138.125
